time	TC4_1	TC4_2	TC4_3	TC4_4
(sec)	(degC)	(degC)	(degC)	(degC)

910.54080	43	26	24	27
910.62272	43	26	24	27
910.70464	43	26	24	27
910.78656	43	26	24	27
910.86848	43	26	24	27
910.95040	43	26	24	27
911.03232	43	26	24	27
911.11424	43	26	24	27
911.19616	43	26	24	27
911.27808	43	26	24	27
911.36000	43	26	24	27
911.44192	43	26	24	27
911.52384	43	26	24	27
911.60576	43	26	24	27
911.68768	43	26	24	27
911.76960	43	26	24	27
911.85152	43	26	24	27
911.93344	43	26	24	27
912.01536	43	26	24	27
912.09728	43	26	24	27
912.17920	43	26	24	27
912.26112	43	26	24	27
912.34304	43	26	24	27
912.42496	43	26	24	27
912.50688	43	26	24	27
912.58880	43	26	24	27
912.67072	43	26	24	27
912.75264	43	26	24	27
912.83456	43	26	24	27
912.91648	43	26	24	27
912.99840	43	26	24	27
913.08032	43	26	24	27
913.16224	43	26	24	27
913.24416	43	26	24	27
913.32608	43	26	24	27
913.40800	43	26	24	27
913.48992	43	26	24	27
913.57184	43	26	24	27
913.65376	43	26	24	27
913.73568	43	26	24	27
913.81760	43	26	24	27
913.89952	43	26	24	27
913.98144	43	26	24	27
914.06336	43	26	24	27
914.14528	43	26	24	27
914.22720	43	26	24	27
914.30912	43	26	24	27
914.39104	43	26	24	27
914.47296	43	26	24	27
914.55488	43	26	24	27
914.63680	43	26	24	27
914.71872	42	26	24	27
914.80064	42	26	24	27
914.88256	42	26	24	27
914.96448	42	26	24	27
915.04640	42	26	24	27
915.12832	42	26	24	27
915.21024	42	26	24	27
915.29216	42	26	24	27
915.37408	42	26	24	27
915.45600	42	26	24	27
915.53792	42	26	24	27
915.61984	42	26	24	27
915.70176	42	26	24	27
915.78368	42	26	24	27
915.86560	42	26	24	27
915.94752	42	26	24	27
916.02944	42	26	24	27
916.11136	42	26	24	27
916.19328	42	26	24	27
916.27520	42	26	24	27
916.35712	42	26	24	27
916.43904	42	26	24	27
916.52096	42	26	24	27
916.60288	42	26	24	27
916.68480	42	26	24	27
916.76672	42	26	24	27
916.84864	42	26	24	27
916.93056	42	26	24	27
917.01248	42	26	24	27
917.09440	42	26	24	27
917.17632	42	26	24	27
917.25824	42	26	24	27
917.34016	42	26	24	27
917.42208	42	26	24	27
917.50400	42	26	24	27
917.58592	42	26	24	27
917.66784	42	26	24	27
917.74976	42	26	24	27
917.83168	42	26	24	27
917.91360	42	26	24	27
917.99552	42	26	24	27
918.07744	42	26	24	27
918.15936	42	26	24	27
918.24128	42	26	24	27
918.32320	42	26	24	27
918.40512	42	26	24	27
918.48704	42	26	24	27
918.56896	42	26	24	27
918.65088	42	26	24	27
918.73280	42	26	24	27
918.81472	42	26	24	27
918.89664	42	26	24	27
918.97856	42	26	24	27
919.06048	42	26	24	27
919.14240	42	26	24	27
919.22432	42	26	24	27
919.30624	42	26	24	27
919.38816	42	26	24	27
919.47008	42	26	24	27
919.55200	42	26	24	27
919.63392	42	26	24	27
919.71584	42	26	24	27
919.79776	42	26	24	27
919.87968	42	26	24	27
919.96160	42	26	24	27
920.04352	42	26	24	27
920.12544	42	26	24	27
920.20736	42	26	24	27
920.28928	42	26	24	27
920.37120	42	26	24	27
920.45312	42	26	24	27
920.53504	42	26	24	27
920.61696	42	26	24	27
920.69888	42	26	24	27
920.78080	42	26	24	27
920.86272	42	26	24	27
920.94464	42	26	24	27
921.02656	42	26	24	27
921.10848	41	26	24	27
921.19040	41	26	24	27
921.27232	41	26	24	27
921.35424	41	26	24	27
921.43616	41	26	24	27
921.51808	41	26	24	27
921.60000	41	26	24	27
921.68192	41	26	24	27
921.76384	41	26	24	27
921.84576	41	26	24	27
921.92768	41	26	24	27
922.00960	41	26	24	27
922.09152	41	26	24	27
922.17344	41	26	24	27
922.25536	41	26	24	27
922.33728	41	26	24	27
922.41920	41	26	24	27
922.50112	41	26	24	27
922.58304	41	26	24	27
922.66496	41	26	24	27
922.74688	41	26	24	27
922.82880	41	26	24	27
922.91072	41	26	24	27
922.99264	41	26	24	27
923.07456	41	26	24	27
923.15648	41	26	24	27
923.23840	41	26	24	27
